DEF_SUB,ACO_NUM,aco_npi_cnt,saving_npi_pct,aco_epi_cnt,aco_readm_oe,aco_readm_saving,aco_er_oe,aco_er_saving,aco_ins_oe,aco_ins_saving,avg_aco_saving,total_aco_saving,avg_cost_score,avg_quality_score
PPI_IOP_MJRLE_KNEE,A4652,5,1,182,1.6923393049,347.92931922,1.2293200821,17.101374777,0.652496672,38.648977569,403.67967155,73469.700223,2.1153846154,3.5604395604
PPI_IOP_MJRLE_KNEE,A4654,3,1,39,1.3198173718,89.554781371,1.6004620428,19.199554167,1.4345042484,482.30140264,591.0557383,23051.173794,2.7179487179,3.2051282051
PPI_IOP_MJRLE_KNEE,A4657,5,0.8,108,0.739914681,26.356779299,1.0194110791,4.1712928535,0.5244489262,0,30.528072152,3297.0317924,4.5185185185,3.7037037037
PPI_IOP_MJRLE_KNEE,A4664,3,1,123,0.8436746317,3.8534013815,0.9707301279,1.7068276493,1.0664945624,84.283369824,89.84359886,11050.76266,4,4.4715447154
PPI_IOP_MJRLE_KNEE,A4665,3,1,79,0.9035372522,20.494007038,1.2456742904,19.617761742,2.6393769675,1767.2332967,1807.3450653,142780.26016,3.164556962,3.5189873418
PPI_IOP_MJRLE_KNEE,A4671,7,0.8571428571,147,1.3441223495,199.0786326,0.8186888301,4.7973346962,0.8606972623,343.99921517,547.87518258,80537.651839,3.462585034,2.7551020408
PPI_IOP_MJRLE_KNEE,A4678,7,1,166,2.1763601595,323.89288973,0.5274540583,0.5019874505,1.0621374159,498.83293079,823.22780816,136655.81615,3.6024096386,3.3192771084
PPI_IOP_MJRLE_KNEE,A4681,2,0.5,55,1.5401786191,329.23824147,0.589010106,0,0.4052617269,0,329.23824147,18108.103281,3.1090909091,2.5818181818
PPI_IOP_MJRLE_KNEE,A4690,9,0.6666666667,271,1.1115634503,58.773131069,1.5790479401,29.6707765,0.589954625,24.62152086,113.06542843,30640.731105,3.6974169742,3.6568265683
PPI_IOP_MJRLE_KNEE,A4692,33,0.6666666667,1616,0.7337909378,37.712389524,1.0646359262,8.3562658288,0.7904461431,102.82529388,148.89394925,240612.62198,3.5266089109,2.9913366337
PPI_IOP_MJRLE_KNEE,A4701,3,0.6666666667,58,1.058355944,66.134178209,0.9763469352,1.750704159,1.0692176547,98.08648205,165.97136442,9626.3391364,2.4827586207,3.8103448276
PPI_IOP_MJRLE_KNEE,A4707,8,0.5,178,0.6803297291,31.08839628,0.7203601714,0.9601830722,0.9269731814,289.49586877,321.54444813,57234.911767,3.3539325843,3.4719101124
PPI_IOP_MJRLE_KNEE,A4709,7,1,121,0.8156279123,40.879070652,0.9116726982,10.148033025,1.0893765101,389.40887529,440.43597895,53292.753453,3.041322314,3
PPI_IOP_MJRLE_KNEE,A4710,1,1,11,0.620219923,0,1.541317015,20.73053415,0.383262391,0,20.73053415,228.03587565,5,2
PPI_IOP_MJRLE_KNEE,A4711,6,0.5,90,0.6214056068,21.331154424,0.7967867434,6.5606034132,1.0611046613,188.00123266,215.89299051,19430.369146,2.8222222222,3.0555555556
PPI_IOP_MJRLE_KNEE,A4733,10,0.6,330,0.7076948616,37.381245768,1.0040406932,20.228213584,0.735549329,133.67340878,191.28286811,63123.346477,3.4454545455,3.3090909091
PPI_IOP_MJRLE_KNEE,A4737,12,0.6666666667,392,0.9878362634,68.193300471,0.6039565399,3.0622507995,0.9695138858,91.896723384,163.15227466,63955.691665,3.4285714286,2.443877551
PPI_IOP_MJRLE_KNEE,A4742,1,1,12,0.818452839,0,1.47990213,19.44559143,3.327110761,1504.457322,1523.902914,18286.834968,1,2
PPI_IOP_MJRLE_KNEE,A4744,1,1,19,1.015852909,3.159269364,0.337931049,0,1.591516408,164.3987888,167.5580581,3183.6031039,5,3
PPI_IOP_MJRLE_KNEE,A4752,2,1,26,0.5738214109,0,0.9949804248,0.0386349853,1.1283827028,88.237481758,88.27611675,2295.1790355,2,3.3846153846
PPI_IOP_MJRLE_KNEE,A4754,2,0.5,24,0.759408897,19.04184651,0.7678019915,0,0.157252817,0,19.04184651,457.00431624,5,3.5
PPI_IOP_MJRLE_KNEE,A4756,4,1,63,0.5939285222,19.986580795,0.5791761683,0,1.3682419704,301.08271981,321.06930061,20227.365938,2.1746031746,2
PPI_IOP_MJRLE_KNEE,A4757,3,0.6666666667,37,0.767548448,13.818149838,1.1012423789,11.737542899,2.0348554078,1163.9630053,1189.518698,44012.191826,2.4054054054,3.6756756757
PPI_IOP_MJRLE_KNEE,A4764,1,0,15,0.894052686,0,0.684148517,0,0.857106456,0,0,0,3,3
