ATTR_NPI,DEF_SUB,ACO_NUM,aco_epi_cnt
1003817693,PPI_IOP_MJRLE_HIP,,84
1003817693,PPI_IOP_MJRLE_KNEE,,55
1003818741,PPI_IOP_MJRLE_HIP,,16
1003818741,PPI_IOP_MJRLE_KNEE,,38
1003819780,PPI_IOP_MJRLE_HIP,,145
1003819780,PPI_IOP_MJRLE_HIP,A2098,49
1003819780,PPI_IOP_MJRLE_HIP,A2419,34
1003819780,PPI_IOP_MJRLE_KNEE,,159
1003819780,PPI_IOP_MJRLE_KNEE,A2098,63
1003819780,PPI_IOP_MJRLE_KNEE,A2419,54
1003819780,PPI_IOP_MJRLE_KNEE,A4938,30
1003820234,PPI_IOP_MJRLE_KNEE,,15
1003820234,PPI_IOP_MJRLE_KNEE,A1488,11
1003820234,PPI_IOP_MJRLE_KNEE,A3016,35
1003823212,PPI_IOP_MJRLE_KNEE,,19
1003823212,PPI_IOP_MJRLE_KNEE,A4893,18
1003825456,PPI_IOP_MJRLE_HIP,,44
1003825456,PPI_IOP_MJRLE_KNEE,,32
1003825753,PPI_IOP_MJRLE_HIP,,13
1003834078,PPI_IOP_MJRLE_KNEE,,16
1003841008,PPI_IOP_MJRLE_HIP,,18
1003841008,PPI_IOP_MJRLE_HIP,A2057,17
1003841008,PPI_IOP_MJRLE_KNEE,,20
1003841008,PPI_IOP_MJRLE_KNEE,A2057,24
1003841008,PPI_IOP_MJRLE_KNEE,A3599,19
1003843681,PPI_IOP_MJRLE_HIP,A3723,12
1003845629,PPI_IOP_MJRLE_HIP,,38
1003845629,PPI_IOP_MJRLE_KNEE,,20
1003851817,PPI_IOP_MJRLE_HIP,,25
1003855289,PPI_IOP_MJRLE_HIP,,39
1003855289,PPI_IOP_MJRLE_KNEE,,69
1003858978,PPI_IOP_MJRLE_HIP,,11
1003858978,PPI_IOP_MJRLE_KNEE,,25
1003860651,PPI_IOP_MJRLE_HIP,,17
1003860651,PPI_IOP_MJRLE_KNEE,,14
1003864497,PPI_IOP_MJRLE_HIP,,64
1003864497,PPI_IOP_MJRLE_HIP,A1749,13
1003864497,PPI_IOP_MJRLE_HIP,A2631,29
1003864497,PPI_IOP_MJRLE_KNEE,,24
1003868977,PPI_IOP_MJRLE_HIP,,31
1003868977,PPI_IOP_MJRLE_HIP,A4894,25
1003868977,PPI_IOP_MJRLE_KNEE,,70
1003868977,PPI_IOP_MJRLE_KNEE,A4894,30
1003869371,PPI_IOP_MJRLE_KNEE,,13
1003869371,PPI_IOP_MJRLE_KNEE,A3675,12
1003873357,PPI_IOP_MJRLE_KNEE,,34
1003874033,PPI_IOP_MJRLE_HIP,,22
1003874033,PPI_IOP_MJRLE_KNEE,,50
1003875717,PPI_IOP_MJRLE_KNEE,,20
1003875717,PPI_IOP_MJRLE_KNEE,A2575,21
1003875717,PPI_IOP_MJRLE_KNEE,A3325,27
1003876343,PPI_IOP_MJRLE_HIP,,37
1003876343,PPI_IOP_MJRLE_HIP,A2342,25
1003876343,PPI_IOP_MJRLE_KNEE,,118
1003876343,PPI_IOP_MJRLE_KNEE,A1252,15
1003876343,PPI_IOP_MJRLE_KNEE,A1694,14
1003876343,PPI_IOP_MJRLE_KNEE,A2342,37
1003880964,PPI_IOP_MJRLE_HIP,,20
1003880964,PPI_IOP_MJRLE_HIP,A3250,27
1003880964,PPI_IOP_MJRLE_KNEE,A3250,13
1003881442,PPI_IOP_MJRLE_HIP,,22
1003881632,PPI_IOP_MJRLE_HIP,,145
1003881632,PPI_IOP_MJRLE_KNEE,,178
1003881632,PPI_IOP_MJRLE_KNEE,A4641,11
1003881897,PPI_IOP_MJRLE_HIP,,32
1003882515,PPI_IOP_MJRLE_HIP,,12
1003882515,PPI_IOP_MJRLE_HIP,A1694,15
1003882515,PPI_IOP_MJRLE_KNEE,,27
1003882515,PPI_IOP_MJRLE_KNEE,A1694,26
1003883869,PPI_IOP_MJRLE_HIP,,224
1003883869,PPI_IOP_MJRLE_KNEE,,198
1003886334,PPI_IOP_MJRLE_HIP,,23
1003886342,PPI_IOP_MJRLE_KNEE,,72
1003886342,PPI_IOP_MJRLE_KNEE,A1297,16
1003889205,PPI_IOP_MJRLE_HIP,,16
1003889205,PPI_IOP_MJRLE_KNEE,,14
1003889304,PPI_IOP_MJRLE_HIP,,42
1003889304,PPI_IOP_MJRLE_KNEE,,80
1003889304,PPI_IOP_MJRLE_KNEE,A3677,16
1003890187,PPI_IOP_MJRLE_HIP,,37
1003890187,PPI_IOP_MJRLE_KNEE,,19
1003891409,PPI_IOP_MJRLE_HIP,,15
1003891409,PPI_IOP_MJRLE_KNEE,,13
1003895111,PPI_IOP_MJRLE_KNEE,A1290,11
1003902354,PPI_IOP_MJRLE_HIP,,209
