CCN,WI,Year
050069,1.2882,2015
050070,1.6928,2015
050071,1.7180,2015
050072,1.6478,2015
050073,1.6315,2015
050075,1.6962,2015
050076,1.6738,2015
050077,1.2882,2015
050078,1.2882,2015
050079,1.6478,2015
050082,1.2882,2015
050084,1.6315,2015
050089,1.2882,2015
050090,1.6315,2015
050091,1.2882,2015
050093,1.2882,2015
050096,1.2882,2015
050099,1.2882,2015
050100,1.2882,2015
050101,1.6315,2015
050102,1.2882,2015
050103,1.2882,2015
050104,1.2882,2015
050107,1.2882,2015
050108,1.5256,2015
050110,1.2882,2015
050111,1.2882,2015
050112,1.2882,2015
050113,1.6928,2015
050115,1.2882,2015
050116,1.2882,2015
050118,1.3579,2015
050121,1.2882,2015
050122,1.3579,2015
050124,1.2882,2015
050125,1.7180,2015
050126,1.2882,2015
050127,1.5256,2015
050128,1.2882,2015
050129,1.2882,2015
050131,1.6855,2015
050132,1.2882,2015
050133,1.3204,2015
050135,1.2882,2015
050136,1.6315,2015
050137,1.2882,2015
050138,1.2882,2015
050139,1.2882,2015
050140,1.2882,2015
050145,1.5558,2015
050146,*,2015
050149,1.2882,2015
050150,1.5256,2015
050152,1.6738,2015
050153,1.7180,2015
050158,1.2882,2015
050159,1.2882,2015
050167,1.3579,2015
050168,1.2882,2015
050169,1.2882,2015
050174,1.6315,2015
050179,1.2892,2015
050180,1.6478,2015
050189,1.5558,2015
050191,1.2882,2015
050192,1.2882,2015
050193,*,2015
050194,1.7239,2015
050195,1.6962,2015
050196,1.2882,2015
050197,1.6928,2015
050204,1.2882,2015
050205,1.2882,2015
050211,1.6962,2015
050219,*,2015
050222,1.2882,2015
050224,1.2882,2015
050225,1.2882,2015
050226,1.2882,2015
050228,1.6738,2015
050230,1.2882,2015
050231,1.2882,2015
050232,1.2964,2015
050234,1.2882,2015
050235,1.2882,2015
050236,1.2882,2015
050238,1.2882,2015
050239,1.2882,2015
050242,1.7239,2015
050243,1.2882,2015
050245,1.2882,2015
050248,1.5558,2015
050254,1.5256,2015
050257,1.2882,2015
050261,1.2882,2015
050262,1.2882,2015
050264,*,2015
050272,1.2882,2015
050276,1.6478,2015
050277,1.2882,2015
050278,1.2882,2015
050279,1.2882,2015
050280,1.4188,2015
050281,1.2882,2015
050283,1.6962,2015
050289,1.6928,2015
050290,1.2882,2015
050291,1.6315,2015
050292,1.2882,2015
050295,1.2882,2015
050296,1.7180,2015
050298,1.2882,2015
050300,1.2882,2015
050301,1.2882,2015
050305,1.6962,2015
050308,1.7180,2015
050309,1.5256,2015
050313,1.3579,2015
050315,1.2882,2015
050320,1.6962,2015
050324,1.2882,2015
050327,1.2882,2015
050329,1.2882,2015
050334,1.6962,2015
050335,1.2882,2015
050336,1.3579,2015
050342,1.2882,2015
050348,1.2882,2015
050349,1.2882,2015
050350,1.2882,2015
050351,1.2882,2015
050352,1.5256,2015
050353,1.2882,2015
050357,1.2882,2015
050359,1.2882,2015
050360,1.6855,2015
050367,1.6315,2015
050373,1.2882,2015
050376,1.2882,2015
050378,1.2882,2015
050380,1.7180,2015
050382,1.2882,2015
050385,1.6315,2015
050390,1.2882,2015
050393,1.2882,2015
050394,1.2882,2015
050396,1.2882,2015
050397,1.2882,2015
050407,1.6738,2015
050411,1.2882,2015
050414,1.5256,2015
050417,1.2882,2015
050423,1.2882,2015
050424,1.2882,2015
050425,1.5256,2015
050426,1.2882,2015
050434,1.2882,2015
050435,1.2882,2015
050438,1.2882,2015
050441,1.7180,2015
050444,1.3279,2015
050448,*,2015
050454,1.6738,2015
050455,1.2882,2015
050457,1.6738,2015
050464,1.3579,2015
050468,1.2882,2015
050471,1.2882,2015
050481,1.2882,2015
050485,1.2882,2015
050488,1.6962,2015
050492,1.2882,2015
050496,1.6478,2015
050498,1.5256,2015
050502,1.2882,2015
050503,1.2882,2015
050506,1.2964,2015
050510,1.6855,2015
050512,1.6962,2015
050515,1.2882,2015
050516,1.5256,2015
050517,1.2882,2015
050523,1.6478,2015
050526,1.2882,2015
050528,1.2882,2015
050531,1.2882,2015
050534,1.2882,2015
050537,1.5256,2015
050541,1.6928,2015
050543,1.2882,2015
050545,1.2882,2015
050546,1.2882,2015
050547,1.6315,2015
050548,1.2882,2015
050549,1.2882,2015
050551,1.2882,2015
050552,1.2882,2015
050557,1.2892,2015
050561,1.2882,2015
050567,1.2882,2015
050568,1.2882,2015
050570,1.2882,2015
050573,1.2882,2015
050575,1.2882,2015
